geouid_21	poi_den	den_21
3050101.00	13.41313231937374	743.5
3050102.01	45.263183510573576	1271
3050102.02	4.582366589327147	341.2
3050110.00	0.02502230835029076	2
3050120.00	0.12068832575120102	4
3050200.00	0.0306460672558592	3.8
3100001.01	0.840174585430803	40.4
3100001.02	4.526878340144608	427.4
3100002.01	29.367730047218704	1005.4
3100002.02	62.65847985079319	355.6
3100003.00	46.51739750666749	1080.4
3100004.00	89.31419457735247	2791.1
3100005.00	118.47065158858373	10.8
3100006.00	218.64951768488746	2054.7
3100007.00	352.910192257045	2825.9
3100008.00	440.8273991183452	4859.3
3100009.00	311.65833012697186	8414.8
3100010.00	92.04470742932281	2391.8
3100011.00	4257.091400270148	2408.8
3100012.00	12.346695201251132	735.9
3100013.00	105.58069381598794	4009.6
3100014.00	34.99079189686925	1430.9
3100015.00	17.73573751108484	1172.5
3100016.00	82.58913583562747	1037.4
3100017.00	80.00800080008001	1274.1
3100018.00	128.88707037643206	452.1
3100019.00	95.06680369989722	824.8
3100020.00	45.06128334534968	2602.7
3100021.00	29.01649358582773	2106
3100022.00	171.5544221629767	2746
3100023.00	47.48774509803921	2674.6
3100024.00	15.119174670935609	777
3100025.01	26.53277818597436	807.6
3100025.02	9.423258139579607	359.9
3100026.00	0.5879955636748506	36
3100027.01	23.52171156245526	765.8
3100027.02	4.481314518925552	198.6
3100028.00	9.338149598604344	133.1
3100029.00	1.3590883441831019	109.8
3100100.01	2.2233106600223667	83
3100100.03	0.09142101782743707	7.2
3100100.04	0.07723462290838987	5.4
3100101.00	0.1575048182155754	3.8
3100102.00	0.022035631276764816	1.2
3100110.01	23.605472861223877	327.3
3100110.02	11.412683577477091	358
3100111.00	0.24449950950404523	16
3100112.00	0.192031060151111	9.8
3100120.02	4.7292266205147815	232
3100120.03	3.18994625241503	215.4
3100120.05	3.637289491870658	676.9
3100120.06	4.165096491402051	902.4
3100130.01	1.750960039435277	51.8
3100130.03	0.5511615730151294	47.1
3100130.04	0.15655036990361834	13.9
3100131.01	0.10041922383339288	7.2
3100131.02	0.1061219537653574	2.4
3100140.00	0.11051998270362272	9.2
3200001.00	2559.580552907531	1104.2
3200002.00	174.7874207045485	2351.9
3200003.00	140.1102122171415	2366
3200004.00	104.139319156384	1381.8
3200005.00	34.50485532607088	790.7
3200006.00	9.179715887793273	446.9
3200007.00	3.9774185270721065	190
3200008.00	21.801627039260403	372.6
3200009.00	7.205887564528133	456.7
3200010.00	144.70013947001394	1033.2
3200011.00	24.53069455127539	1100.6
3200012.00	37.496495654611714	1311.3
3200013.00	6.019835991041811	316.1
3200014.00	3.540885221305326	239.7
3200015.00	9.170416914324532	337.1
3200017.00	3.3090668431502315	393.4
3200018.00	0.0625083039621886	6.8
3200019.00	0.019566557275117753	1.9
3200020.00	0.20070195508792	47.2
3200021.00	3.5294948116426266	195.4
3200022.00	0.0986615362667808	7.5
3200023.00	0.20187812849046455	25.1
3200024.00	0.06997781841726111	4.1
3200025.00	0.7910557958021305	136.6
3200026.00	0.17585831863099996	8.2
3200027.00	0.01380918305149251	1.3
3200028.00	0.5095904930797611	20.7
3200029.00	0.15174391696572864	4.4
3200030.00	0.04416447939251419	4.2
3200031.00	0.03516256003128061	3.8
4080001.00	41.394444167373194	1786.9
4080002.01	198.11206093262567	1279.8
4080002.02	61.596392543349914	1332.1
4080003.01	33.363663936912346	1393.3
4080003.02	51.531796817486835	1620.7
4080004.00	113.24810933241199	1550.5
4080005.00	46.286406038595736	2091.4
4080006.00	436.72345807603597	2489.4
4080007.00	31.69341707373808	734.2
4080008.00	5.346792993562461	549
4080100.00	5.0940624555750365	461.8
4080101.00	13.004429633844028	319.7
4080102.00	40.989500934848266	1910.7
4080103.01	12.972642985234081	1587.6
